ProductID,Name,Description,OrderCode,Brand,Size,Qty,Value,Discount,ValueIncVAT,ValueExcVAT,TotCost,Margin,MarginPerc
27838789,BLACK BULLET,BLACK BULLET,,,,1,2500.00000,0.00000,2500.00000,2222.22000,0.00000,2222.22000,1.00000
26870809,"CHI EXOTIC ","CHI EXOTIC ",,,,1,1500.00000,0.00000,1500.00000,1333.33000,0.00000,1333.33000,1.00000
26885365,COKE,COKE,,,,1,600.00000,0.00000,600.00000,533.33000,0.00000,533.33000,1.00000
26867123,DESPERADO,DESPERADO,,,,1,1500.00000,0.00000,1500.00000,1333.33000,0.00000,1333.33000,1.00000
26870869,EVA WATER,EVA WATER,,,,10,5000.00000,0.00000,5000.00000,4444.44000,0.00000,4444.44000,1.00000
26867105,FAYROUZ,FAYROUZ,,,,4,2800.00000,0.00000,2800.00000,2488.88000,0.00000,2488.88000,1.00000
27992568,FLY FISH BEER,FLY FISH BEER,,,,1,1000.00000,0.00000,1000.00000,888.89000,1000.00000,-111.11000,-0.12500
26870850,FOUR COUSON,FOUR COUSON,,,,1,15000.00000,0.00000,15000.00000,13333.33000,0.00000,13333.33000,1.00000
26867114,GOLD BERG,GOLD BERG,,,,5,5000.00000,0.00000,5000.00000,4444.45000,0.00000,4444.45000,1.00000
26867051,HEINEKEN BEER,HEINEKEN BEER,,,,8,12000.00000,0.00000,12000.00000,10666.66000,0.00000,10666.66000,1.00000
26870810,HOLLANDIA,HOLLANDIA,,,,1,3000.00000,0.00000,3000.00000,2666.67000,0.00000,2666.67000,1.00000
26892702,"LONG ISLAND ","LONG ISLAND ",,,,1,6000.00000,0.00000,6000.00000,5333.33000,0.00000,5333.33000,1.00000
26867062,"MALTA GUINESS ","MALTA GUINESS ",,,,1,800.00000,0.00000,800.00000,711.11000,0.00000,711.11000,1.00000
27619976,MALTINA,MALTINA,,,,1,700.00000,0.00000,700.00000,622.22000,0.00000,622.22000,1.00000
26885362,MONSTER,MONSTER,,,,1,2500.00000,0.00000,2500.00000,2222.22000,0.00000,2222.22000,1.00000
26881669,OLMEGA TEQUILA SHOTS,OLMEGA TEQUILA SHOTS,,,,7,21000.00000,0.00000,21000.00000,18666.67000,0.00000,18666.67000,1.00000
27147479,OREO MILKSHAKE,OREO MILKSHAKE,,,,3,18000.00000,0.00000,18000.00000,16000.00000,0.00000,16000.00000,1.00000
26865676,ORIGIN BITTERS,ORIGIN BITTERS,,,,9,13500.00000,0.00000,13500.00000,12000.00000,2962.62000,9037.38000,0.75312
26867048,POWER HORSE,POWER HORSE,,,,1,2500.00000,0.00000,2500.00000,2222.22000,425.93000,1796.29000,0.80833
26870633,SMIRNOFF ICE BIG,SMIRNOFF ICE BIG,,,,1,1700.00000,0.00000,1700.00000,1511.11000,0.00000,1511.11000,1.00000
26870874,TROPHY,TROPHY,,,,4,4000.00000,0.00000,4000.00000,3555.56000,0.00000,3555.56000,1.00000
,Total:,,,,,63,120600.00000,0.00000,120600.00000,107199.97000,4388.55000,102811.42000,19.43645
